created_at	playlist_id	title	numtracks	duration	owner
1216545588	644838	[12727]	27	6522	41504
1249326867	7577564	[]	9	2650	41504
1257766688	3120683	[183]	16	3645	44542
1248079275	4278112	[12389, 18698, 18925, 11695, 7117]	15	4151	44542
1175201268	8656823	[12809, 2095, 13257, 12671, 20426, 14448, 18698]	84	18414	44542
1224952363	10961458	[7194, 3225, 9438, 13502, 11695]	32	6441	44542
1171573001	5527068	[19505]	44	13776	40796
1220175946	2940714	[12323]	69	18214	40796
1181710641	11397138	[]	27	8466	44467
1181710641	3128020	[12111, 4776, 14448]	89	30451	44467
1172149901	8373436	[9922, 14448]	89	30451	43704
1242987126	4809636	[7107, 14343]	2	542	43704
1294318230	8583262	[2410, 16169]	7	4689	44877
1294064629	11280190	[3628]	5	1462	44877
1294064116	5618648	[14888]	11	5826	44877
1233614137	2995278	[12636, 17985, 660]	4	1301	43028
1231539219	5720522	[]	7	1859	43028
1173913081	2594578	[]	151	33518	42600
1240960210	689943	[19676]	1	207	42600
1389195386	6851716	[12532]	0	0	41884
1262873154	4242746	[13864, 16768, 16557]	0	0	41884
1262873153	10030096	[13864, 16768, 16557]	0	0	41884
1178653273	7541178	[19676]	0	0	41884
1256935416	3792227	[7802]	46	21046	41301
1316608331	3357671	[12210, 15789, 7489]	14	2635	41301
1313660169	968660	[17427, 3570, 12210]	25	5778	41301
1312183067	8290378	[15818, 14697, 16484, 12636]	20	7102	41301
1236442421	6658214	[6728, 18870, 1015, 4963]	157	48279	41444
1242627338	7692	[10536, 6728]	73	19781	41444
1278814875	8542111	[16596, 17555, 5188]	3	875	41444
1257924323	10717705	[13082, 1620, 18783, 14425]	18	4864	41444
1250211954	10738369	[9742, 13765, 20615]	11	2572	41444
1305954247	11718706	[6728]	11	2572	40433
1193286059	7835728	[19676]	3	727	40433
1328922315	752826	[14282]	14	4819	41837
1345198484	4405588	[14193, 12636]	5	1200	41837
1340879760	5596886	[20624]	8	1688	41837
1325105139	4736450	[3847, 8059]	8	1914	41837
1324894310	8659925	[16464, 6945, 2287]	56	12644	41837
1358438305	6945613	[502]	3	1013	41837
1328108774	62002	[13045]	25	6461	41837
1396191317	6913397	[19, 10285]	3	769	40779
1347547244	8987703	[]	12	2943	40779
1341480638	11643801	[]	29	6420	40779
